X(E/m),Y(N/m)
330335.387903692026157,4156703.107281130272895
330335.360037292703055,4156703.041246925946325
330335.332397604594007,4156702.986308684572577
330335.295922537217848,4156702.931550967507064
330335.268056136672385,4156702.865516764111817
330335.231581070576794,4156702.810759046580642
330335.203941380954348,4156702.755820807535201
330335.167239599977620,4156702.689967127516866
330335.139599909656681,4156702.635028886143118
330335.111733506899327,4156702.568994684144855
330335.075258436496370,4156702.514236967079341
330335.038556655636057,4156702.448383289389312
330335.019752340973355,4156702.393264523241669
330334.964246241899673,4156702.272292082197964
330334.927544459351338,4156702.206438403576612
330334.891069388366304,4156702.151680686976761
330334.844171951408498,4156702.019431759603322
330334.816532256954815,4156701.964493519626558
330334.788892562151887,4156701.909555281046778
330334.761252866999712,4156701.854617042001337
330334.751057212706655,4156701.788221789523959
330334.732026182580739,4156701.722007065080106
330334.686489015701227,4156701.656333912163973
330334.650013943202794,4156701.601576197892427
330334.630982909700833,4156701.535361471120268
330334.612178590672556,4156701.480242708697915
330334.565281148417853,4156701.347993780393153
330334.537641450180672,4156701.293055542744696
330334.500712945533451,4156701.216105903498828
330334.481681912322529,4156701.149891179054976
330334.453588787640911,4156701.072761015966535
330334.434784464305267,4156701.017642252147198
330334.407144764205441,4156700.962704014498740
330334.388113729888573,4156700.896489289589226
330334.368855982553214,4156700.819178601726890
330334.341216281463858,4156700.764240364078432
330334.313576580025256,4156700.709302125032991
330334.285710163181648,4156700.643267925828695
330334.257617035123985,4156700.566137763205916
330334.238812709634658,4156700.511019000783563
330334.211173006740864,4156700.456080762669444
330334.174244498135522,4156700.379131125286222
330334.155213460908271,4156700.312916400376707
330334.136409136524890,4156700.257797637023032
330334.117604811966885,4156700.202678875532001
330334.098573771771044,4156700.136464150622487
330334.070934066898189,4156700.081525913905352
330334.042840935406275,4156700.004395751282573
330334.023809896549210,4156699.938181027304381
330334.004778857401107,4156699.871966302394867
330333.976912435609847,4156699.805932103190571
330333.949272729048971,4156699.750993866473436
330333.930014975718223,4156699.673683180008084
330333.911210648715496,4156699.618564419448376
330333.864313184574712,4156699.486315495334566
