X(E/m),Y(N/m)
330336.749294965877198,4156707.441999054048210
330336.739326043403707,4156707.386699765454978
330336.729130410705693,4156707.320304512046278
330336.727770149998832,4156707.253728739917278
330336.717801227350719,4156707.198429448530078
330336.706245333596598,4156707.065458421129733
330336.703524812008254,4156706.932306872215122
330336.693555889010895,4156706.877007583621889
330336.683133545448072,4156706.799516368657351
330336.671577648841776,4156706.666545342653990
330336.660021756542847,4156706.533574314787984
330336.639857196714729,4156706.411879772320390
330336.629661564889830,4156706.345484520774335
330336.619239218183793,4156706.267993307672441
330336.608816873747855,4156706.190502091776580
330336.579816941637546,4156706.068988073151559
330336.550363586051390,4156705.925282129086554
330336.540167953236960,4156705.858886877540499
330336.521136942203157,4156705.792672147508711
330336.491910297540016,4156705.660062165930867
330336.463817203824874,4156705.582931997254491
330336.453621567867231,4156705.516536745708436
330336.434590555494651,4156705.450322015676647
330336.406724171130918,4156705.384287809953094
330336.387693160446361,4156705.318073079455644
330336.368662149528973,4156705.251858351286501
330336.340795764001086,4156705.185824144165963
330336.321991460688878,4156705.130705377552658
330336.294125074520707,4156705.064671170432121
330336.275094062322751,4156704.998456440865993
330336.256063050008379,4156704.932241711765528
330336.218001024331897,4156704.799812254030257
330336.190134634147398,4156704.733778047841042
330336.162494956515729,4156704.678839805535972
330336.134855278534815,4156704.623901561368257
330336.106762178591453,4156704.546771392691880
330336.079122497583739,4156704.491833149455488
330336.042647443478927,4156704.437075430061668
330336.023843139060773,4156704.381956663448364
330335.995976748410612,4156704.315922457259148
330335.959501690696925,4156704.261164736934006
330335.940697385463864,4156704.206045970786363
330335.885191312409006,4156704.085073523223400
330335.848716253065504,4156704.030315804295242
330335.820623148931190,4156703.953185636084527
330335.747446318971924,4156703.832574235275388
330335.691713529638946,4156703.700505826156586
330335.664073845720850,4156703.645567583851516
330335.636207447852939,4156703.579533379524946
330335.608567763178144,4156703.524595138616860
330335.580701366765425,4156703.458560932893306
330335.535164217464626,4156703.392887776251882
330335.507751240860671,4156703.349045496433973
