X(E/m),Y(N/m)
330295.721642348216847,4156623.693820633459836
330295.536777908331715,4156623.730900340713561
330295.351913469843566,4156623.767980053089559
330295.167275792278815,4156623.816155729349703
330294.982411359203979,4156623.853235448710620
330294.806382387527265,4156623.890134610235691
330294.612682492705062,4156623.927394901867956
330294.445715746609494,4156623.975209467578679
330294.269460020936094,4156624.001012676395476
330294.093657815712504,4156624.049007813446224
330293.925784029881470,4156624.052438541781157
330293.749528304615524,4156624.078241762239486
330293.581881283025723,4156624.092768460046500
330293.405172035563737,4156624.096379763912410
330293.237751776701771,4156624.122002430725843
330293.052433829871006,4156624.136890270281583
330292.876178108039312,4156624.162693508435041
330292.700149152195081,4156624.199592715129256
330292.506222508382052,4156624.225757092703134
330292.329966789518949,4156624.251560344826430
330292.145102373207919,4156624.288640127982944
330291.968846658710390,4156624.314443385694176
330291.783982244902290,4156624.351523178629577
330291.590055606327951,4156624.377687579486519
330291.414026657002978,4156624.414586811792105
330291.229162249597721,4156624.451666615437716
330291.044297841261141,4156624.488746424205601
330290.859206669090781,4156624.514730275608599
330290.674569029011764,4156624.562906052917242
330290.489477859227918,4156624.588889912702143
330290.304386692587286,4156624.614873774349689
330290.128130986355245,4156624.640677073039114
330289.943039819365367,4156624.666660944931209
330289.766784117207862,4156624.692464250139892
330289.581466185103636,4156624.707352167461067
330289.404983715037815,4156624.722059520427138
330289.219892551307566,4156624.748043406754732
330289.025965929031372,4156624.774207867681980
330288.849483460769989,4156624.788915231358260
330288.655556838028133,4156624.815079702530056
330288.461403447668999,4156624.830148215405643
330288.267023289052304,4156624.834120769985020
330288.090767591493204,4156624.859924111980945
330287.887778743286617,4156624.875173210166395
330287.685016662813723,4156624.901518275029957
330287.490863275015727,4156624.916586809325963
330287.288101196289062,4156624.942931883037090
330287.094174580066465,4156624.969096389599144
330286.891412503318861,4156624.995441474486142
330286.697259118198417,4156625.010510028339922
330286.503332504595164,4156625.036674548871815
330286.300570430583321,4156625.063019648194313
330286.089199667971116,4156625.100641285534948
330285.886664368386846,4156625.138082357123494
330285.683902297983877,4156625.164427470415831
330285.472304767405149,4156625.190953162964433
330285.261160783469677,4156625.239670785143971
330285.067007407138590,4156625.254739376716316
330284.864472112269141,4156625.292180473916233
330284.661936823453289,4156625.329621574375778
330284.477072456153110,4156625.366701530758291
330284.291981316229794,4156625.392685528844595
330284.107116951607168,4156625.429765492677689
330283.922025815991219,4156625.455749498680234
330283.728325990727171,4156625.493010048288852
330283.543234857264906,4156625.518994063604623
330283.358597273239866,4156625.567170006223023
330283.156061993795447,4156625.604611143469810
330282.962362176680472,4156625.641871711239219
330282.759373347857036,4156625.657120933756232
330282.565446756896563,4156625.683285548351705
330282.380355629953556,4156625.709269590210170
330282.186202263925225,4156625.724338250234723
330281.983666991931386,4156625.761779417283833
330281.780678166600410,4156625.777028664480895
330281.577916119480506,4156625.803373879287392
330281.366318612592295,4156625.829899676609784
330281.172165249940008,4156625.844968362245709
330280.968949648435228,4156625.849121667444706
330280.766187604633160,4156625.875466901808977
330280.554363321862184,4156625.890896758064628
330280.342765819048509,4156625.917422581929713
330280.139776998374145,4156625.932671871036291
330279.936334618076216,4156625.925729237962514
330279.724963897606358,4156625.963351041544229
330279.512912837089971,4156625.967684962321073
330279.310377579531632,4156626.005126194097102
330279.107388763688505,4156626.020375508349389
330278.896018048166297,4156626.057997330557555
330278.684420550416689,4156626.084523198194802
330278.481885298388079,4156626.121964453253895
330278.270061023067683,4156626.137394366785884
330278.067525773716625,4156626.174835630226880
330277.873825988615863,4156626.212096316274256
330277.680126202758402,4156626.249357008840889
330277.494808312330861,4156626.264245196711272
330277.310170772834681,4156626.312421276234090
330277.116697774908971,4156626.360777942463756
330276.914162536966614,4156626.398219235707074
330276.720235972083174,4156626.424383987206966
330276.543980333022773,4156626.450187576003373
330276.367951477644965,4156626.487087131012231
330276.200758085935377,4156626.523806107696146
330276.024048877414316,4156626.527417782694101
330275.812678184593096,4156626.565039685927331
330275.645031222607940,4156626.579566748347133
330275.451104666455649,4156626.605731529649347
330275.257178111467510,4156626.631896314211190
330275.063024773029611,4156626.646965143270791
330274.851427299552597,4156626.673491107765585
330274.657273960066959,4156626.688559946604073
330274.436841028276831,4156626.715266508050263
330274.233852229896002,4156626.730515941046178
330274.022254757815972,4156626.757041927892715
330273.819492751150392,4156626.783387333154678
330273.607441706350073,4156626.787721406202763
330273.395844239043072,4156626.814247408416122
330273.193082232726738,4156626.840592830907553
330272.998928898072336,4156626.855661706533283
330272.796166893502232,4156626.882007138337940
330272.593404889921658,4156626.908352574799210
330272.390416097245179,4156626.923602052498609
330272.188107676221989,4156626.972139422781765
330271.967901547090150,4156627.009942012839019
330271.782810467761010,4156627.035926292650402
